index,split,image_name,image_path,mask_path
23,train,464.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\464.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\464.png
24,train,473.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\473.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\473.png
25,train,463.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\463.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\463.png
26,train,203.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\203.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\203.png
27,train,433.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\433.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\433.png
28,train,345.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\345.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\345.png
29,train,436.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\436.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\436.png
30,train,69.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\69.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\69.png
31,train,348.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\348.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\348.png
32,train,253.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\253.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\253.png
33,train,146.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\146.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\146.png
34,train,292.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\292.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\292.png
35,train,43.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\43.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\43.png
36,train,555.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\555.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\555.png
37,train,28.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\28.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\28.png
38,train,297.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\297.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\297.png
39,train,174.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\174.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\174.png
40,train,274.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\274.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\274.png
41,train,266.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\266.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\266.png
42,train,242.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\242.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\242.png
43,train,113.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\113.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\113.png
44,train,455.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\455.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\455.png
45,train,153.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\153.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\153.png
46,train,310.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\310.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\310.png
47,train,50.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\50.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\50.png
48,train,298.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\298.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\298.png
49,train,163.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\163.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\163.png
50,train,401.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\401.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\401.png
51,train,106.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\106.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\106.png
52,train,112.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\112.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\112.png
53,train,586.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\586.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\586.png
54,train,238.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\238.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\238.png
55,train,250.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\250.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\250.png
56,train,564.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\564.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\564.png
57,train,538.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\538.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\538.png
58,train,506.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\506.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\506.png
59,train,584.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\584.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\584.png
60,train,478.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\478.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\478.png
61,train,438.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\438.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\438.png
62,train,147.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\147.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\147.png
63,train,53.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\53.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\53.png
64,train,240.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\240.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\240.png
65,train,282.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\282.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\282.png
66,train,177.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\177.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\177.png
67,train,187.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\187.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\187.png
68,train,262.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\262.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\262.png
69,train,255.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\255.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\255.png
70,train,101.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\101.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\101.png
71,train,373.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\373.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\373.png
72,train,215.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\215.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\215.png
73,train,4.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\4.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\4.png
74,train,246.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\246.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\246.png
75,train,458.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\458.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\458.png
76,train,281.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\281.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\281.png
77,train,41.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\41.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\41.png
78,train,390.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\390.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\390.png
79,train,213.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\213.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\213.png
80,train,21.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\21.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\21.png
81,train,45.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\45.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\45.png
82,train,131.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\131.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\131.png
83,train,55.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\55.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\55.png
84,train,176.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\176.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\176.png
85,train,316.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\316.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\316.png
86,train,324.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\324.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\324.png
87,train,435.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\435.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\435.png
88,train,573.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\573.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\573.png
89,train,167.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\167.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\167.png
90,train,377.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\377.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\377.png
91,train,322.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\322.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\322.png
92,train,60.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\60.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\60.png
93,train,81.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\81.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\81.png
94,train,525.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\525.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\525.png
95,train,382.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\382.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\382.png
96,train,211.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\211.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\211.png
97,train,115.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\115.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\115.png
98,train,604.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\604.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\604.png
99,train,388.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\388.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\388.png
100,train,268.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\268.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\268.png
101,train,117.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\117.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\117.png
102,train,602.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\602.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\602.png
103,train,356.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\356.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\356.png
104,train,192.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\192.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\192.png
105,train,74.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\74.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\74.png
106,train,514.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\514.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\514.png
107,train,419.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\419.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\419.png
108,train,400.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\400.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\400.png
109,train,431.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\431.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\431.png
110,train,165.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\165.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\165.png
111,train,556.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\556.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\556.png
112,train,408.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\408.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\408.png
113,train,410.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\410.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\410.png
114,train,447.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\447.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\447.png
115,train,327.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\327.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\327.png
116,train,123.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\123.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\123.png
117,train,160.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\160.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\160.png
118,train,424.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\424.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\424.png
119,train,202.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\202.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\202.png
120,train,11.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\11.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\11.png
121,train,582.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\582.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\582.png
122,train,59.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\59.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\59.png
123,train,441.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\441.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\441.png
124,train,574.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\574.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\574.png
125,train,79.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\79.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\79.png
126,train,49.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\49.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\49.png
127,train,230.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\230.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\230.png
128,train,335.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\335.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\335.png
129,train,118.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\118.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\118.png
130,train,139.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\139.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\139.png
131,train,252.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\252.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\252.png
132,train,193.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\193.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\193.png
133,train,78.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\78.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\78.png
134,train,10.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\10.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\10.png
135,train,587.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\587.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\587.png
136,train,134.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\134.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\134.png
137,train,452.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\452.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\452.png
138,train,415.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\415.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\415.png
139,train,342.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\342.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\342.png
140,train,511.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\511.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\511.png
141,train,99.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\99.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\99.png
142,train,437.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\437.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\437.png
143,train,64.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\64.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\64.png
144,train,204.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\204.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\204.png
145,train,402.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\402.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\402.png
146,train,70.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\70.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\70.png
147,train,579.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\579.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\579.png
148,train,273.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\273.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\273.png
149,train,507.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\507.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\507.png
150,train,302.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\302.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\302.png
151,train,152.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\152.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\152.png
152,train,609.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\609.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\609.png
153,train,191.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\191.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\191.png
154,train,133.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\133.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\133.png
155,train,216.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\216.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\216.png
156,train,280.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\280.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\280.png
157,train,492.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\492.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\492.png
158,train,346.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\346.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\346.png
159,train,518.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\images\518.png,E:\pyproject\valueproject\poly_seg\datasets\cvc-clinicdb\masks\518.png
